key,English,हिंदी,भोजपुरी,ਪੰਜਾਬੀ,मराठी,category
auto_irrigation_review_morning_0003,Review and confirm irrigation timing for morning field rounds.,जांचें और पुष्टि करें सिंचाई समय सुबह खेत निरीक्षण के लिए।,जांचीं आ पक्का करीं सिंचाई समय भोर खेत जांच खातिर।,ਜਾਂਚੋ ਅਤੇ ਪੁਸ਼ਟੀ ਕਰੋ ਸਿੰਚਾਈ ਸਮਾਂ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तपासा आणि खात्री करा सिंचन वेळ सकाळच्या फेरीसाठी.,synthetic_extension
auto_nutrition_review_morning_0004,Review and confirm nutrient balance for morning field rounds.,जांचें और पुष्टि करें पोषण संतुलन सुबह खेत निरीक्षण के लिए।,जांचीं आ पक्का करीं पोषण संतुलन भोर खेत जांच खातिर।,ਜਾਂਚੋ ਅਤੇ ਪੁਸ਼ਟੀ ਕਰੋ ਪੋਸ਼ਣ ਸੰਤੁਲਨ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तपासा आणि खात्री करा पोषण संतुलन सकाळच्या फेरीसाठी.,synthetic_extension
auto_canopy_review_morning_0005,Review and confirm canopy management for morning field rounds.,जांचें और पुष्टि करें पौध संरचना प्रबंधन सुबह खेत निरीक्षण के लिए।,जांचीं आ पक्का करीं पौधा बनावट प्रबंधन भोर खेत जांच खातिर।,ਜਾਂਚੋ ਅਤੇ ਪੁਸ਼ਟੀ ਕਰੋ ਛਤਰੀ ਪ੍ਰਬੰਧਨ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तपासा आणि खात्री करा छत्र व्यवस्थापन सकाळच्या फेरीसाठी.,synthetic_extension
auto_community_review_morning_0006,Review and confirm community support for morning field rounds.,जांचें और पुष्टि करें समुदाय सहायता सुबह खेत निरीक्षण के लिए।,जांचीं आ पक्का करीं समुदाय सहारा भोर खेत जांच खातिर।,ਜਾਂਚੋ ਅਤੇ ਪੁਸ਼ਟੀ ਕਰੋ ਕਮਿਊਨਿਟੀ ਸਹਾਇਤਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तपासा आणि खात्री करा समुदाय मदत सकाळच्या फेरीसाठी.,synthetic_extension
auto_market_review_morning_0007,Review and confirm market readiness for morning field rounds.,जांचें और पुष्टि करें बाजार तैयारी सुबह खेत निरीक्षण के लिए।,जांचीं आ पक्का करीं बाजार तैयारी भोर खेत जांच खातिर।,ਜਾਂਚੋ ਅਤੇ ਪੁਸ਼ਟੀ ਕਰੋ ਮਾਰਕੀਟ ਤਿਆਰੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तपासा आणि खात्री करा बाजार तयारी सकाळच्या फेरीसाठी.,synthetic_extension
auto_expert_review_morning_0008,Review and confirm expert escalation for morning field rounds.,जांचें और पुष्टि करें विशेषज्ञ सहायता सुबह खेत निरीक्षण के लिए।,जांचीं आ पक्का करीं विशेषज्ञ मदद भोर खेत जांच खातिर।,ਜਾਂਚੋ ਅਤੇ ਪੁਸ਼ਟੀ ਕਰੋ ਮਾਹਰ ਸਹਾਇਤਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तपासा आणि खात्री करा तज्ञ सल्ला सकाळच्या फेरीसाठी.,synthetic_extension
auto_report_review_morning_0009,Review and confirm report generation for morning field rounds.,जांचें और पुष्टि करें रिपोर्ट निर्माण सुबह खेत निरीक्षण के लिए।,जांचीं आ पक्का करीं रिपोर्ट बनावल भोर खेत जांच खातिर।,ਜਾਂਚੋ ਅਤੇ ਪੁਸ਼ਟੀ ਕਰੋ ਰਿਪੋਰਟ ਤਿਆਰ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तपासा आणि खात्री करा अहवाल निर्मिती सकाळच्या फेरीसाठी.,synthetic_extension
auto_weather_improve_morning_0010,Improve weather planning for morning field rounds.,सुधारें मौसम योजना सुबह खेत निरीक्षण के लिए।,सुधार करीं मौसम योजना भोर खेत जांच खातिर।,ਸੁਧਾਰੋ ਮੌਸਮ ਯੋਜਨਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,सुधारा हवामान नियोजन सकाळच्या फेरीसाठी.,synthetic_extension
auto_scan_improve_morning_0011,Improve leaf scan quality for morning field rounds.,सुधारें पत्ती स्कैन गुणवत्ता सुबह खेत निरीक्षण के लिए।,सुधार करीं पत्ता स्कैन गुणवत्ता भोर खेत जांच खातिर।,ਸੁਧਾਰੋ ਪੱਤਾ ਸਕੈਨ ਕੁਆਲਿਟੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,सुधारा पान स्कॅन गुणवत्ता सकाळच्या फेरीसाठी.,synthetic_extension
auto_soil_improve_morning_0012,Improve soil readiness for morning field rounds.,सुधारें मिट्टी तैयारी सुबह खेत निरीक्षण के लिए।,सुधार करीं माटी तैयारी भोर खेत जांच खातिर।,ਸੁਧਾਰੋ ਮਿੱਟੀ ਤਿਆਰੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,सुधारा माती तयारी सकाळच्या फेरीसाठी.,synthetic_extension
auto_irrigation_improve_morning_0013,Improve irrigation timing for morning field rounds.,सुधारें सिंचाई समय सुबह खेत निरीक्षण के लिए।,सुधार करीं सिंचाई समय भोर खेत जांच खातिर।,ਸੁਧਾਰੋ ਸਿੰਚਾਈ ਸਮਾਂ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,सुधारा सिंचन वेळ सकाळच्या फेरीसाठी.,synthetic_extension
auto_nutrition_improve_morning_0014,Improve nutrient balance for morning field rounds.,सुधारें पोषण संतुलन सुबह खेत निरीक्षण के लिए।,सुधार करीं पोषण संतुलन भोर खेत जांच खातिर।,ਸੁਧਾਰੋ ਪੋਸ਼ਣ ਸੰਤੁਲਨ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,सुधारा पोषण संतुलन सकाळच्या फेरीसाठी.,synthetic_extension
auto_canopy_improve_morning_0015,Improve canopy management for morning field rounds.,सुधारें पौध संरचना प्रबंधन सुबह खेत निरीक्षण के लिए।,सुधार करीं पौधा बनावट प्रबंधन भोर खेत जांच खातिर।,ਸੁਧਾਰੋ ਛਤਰੀ ਪ੍ਰਬੰਧਨ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,सुधारा छत्र व्यवस्थापन सकाळच्या फेरीसाठी.,synthetic_extension
auto_community_improve_morning_0016,Improve community support for morning field rounds.,सुधारें समुदाय सहायता सुबह खेत निरीक्षण के लिए।,सुधार करीं समुदाय सहारा भोर खेत जांच खातिर।,ਸੁਧਾਰੋ ਕਮਿਊਨਿਟੀ ਸਹਾਇਤਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,सुधारा समुदाय मदत सकाळच्या फेरीसाठी.,synthetic_extension
auto_market_improve_morning_0017,Improve market readiness for morning field rounds.,सुधारें बाजार तैयारी सुबह खेत निरीक्षण के लिए।,सुधार करीं बाजार तैयारी भोर खेत जांच खातिर।,ਸੁਧਾਰੋ ਮਾਰਕੀਟ ਤਿਆਰੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,सुधारा बाजार तयारी सकाळच्या फेरीसाठी.,synthetic_extension
auto_expert_improve_morning_0018,Improve expert escalation for morning field rounds.,सुधारें विशेषज्ञ सहायता सुबह खेत निरीक्षण के लिए।,सुधार करीं विशेषज्ञ मदद भोर खेत जांच खातिर।,ਸੁਧਾਰੋ ਮਾਹਰ ਸਹਾਇਤਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,सुधारा तज्ञ सल्ला सकाळच्या फेरीसाठी.,synthetic_extension
auto_report_improve_morning_0019,Improve report generation for morning field rounds.,सुधारें रिपोर्ट निर्माण सुबह खेत निरीक्षण के लिए।,सुधार करीं रिपोर्ट बनावल भोर खेत जांच खातिर।,ਸੁਧਾਰੋ ਰਿਪੋਰਟ ਤਿਆਰ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,सुधारा अहवाल निर्मिती सकाळच्या फेरीसाठी.,synthetic_extension
auto_weather_monitor_morning_0020,Monitor weather planning for morning field rounds.,निगरानी रखें मौसम योजना सुबह खेत निरीक्षण के लिए।,निगरानी करीं मौसम योजना भोर खेत जांच खातिर।,ਨਿਗਰਾਨੀ ਕਰੋ ਮੌਸਮ ਯੋਜਨਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,निगराणी ठेवा हवामान नियोजन सकाळच्या फेरीसाठी.,synthetic_extension
auto_scan_monitor_morning_0021,Monitor leaf scan quality for morning field rounds.,निगरानी रखें पत्ती स्कैन गुणवत्ता सुबह खेत निरीक्षण के लिए।,निगरानी करीं पत्ता स्कैन गुणवत्ता भोर खेत जांच खातिर।,ਨਿਗਰਾਨੀ ਕਰੋ ਪੱਤਾ ਸਕੈਨ ਕੁਆਲਿਟੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,निगराणी ठेवा पान स्कॅन गुणवत्ता सकाळच्या फेरीसाठी.,synthetic_extension
auto_soil_monitor_morning_0022,Monitor soil readiness for morning field rounds.,निगरानी रखें मिट्टी तैयारी सुबह खेत निरीक्षण के लिए।,निगरानी करीं माटी तैयारी भोर खेत जांच खातिर।,ਨਿਗਰਾਨੀ ਕਰੋ ਮਿੱਟੀ ਤਿਆਰੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,निगराणी ठेवा माती तयारी सकाळच्या फेरीसाठी.,synthetic_extension
auto_irrigation_monitor_morning_0023,Monitor irrigation timing for morning field rounds.,निगरानी रखें सिंचाई समय सुबह खेत निरीक्षण के लिए।,निगरानी करीं सिंचाई समय भोर खेत जांच खातिर।,ਨਿਗਰਾਨੀ ਕਰੋ ਸਿੰਚਾਈ ਸਮਾਂ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,निगराणी ठेवा सिंचन वेळ सकाळच्या फेरीसाठी.,synthetic_extension
auto_nutrition_monitor_morning_0024,Monitor nutrient balance for morning field rounds.,निगरानी रखें पोषण संतुलन सुबह खेत निरीक्षण के लिए।,निगरानी करीं पोषण संतुलन भोर खेत जांच खातिर।,ਨਿਗਰਾਨੀ ਕਰੋ ਪੋਸ਼ਣ ਸੰਤੁਲਨ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,निगराणी ठेवा पोषण संतुलन सकाळच्या फेरीसाठी.,synthetic_extension
auto_canopy_monitor_morning_0025,Monitor canopy management for morning field rounds.,निगरानी रखें पौध संरचना प्रबंधन सुबह खेत निरीक्षण के लिए।,निगरानी करीं पौधा बनावट प्रबंधन भोर खेत जांच खातिर।,ਨਿਗਰਾਨੀ ਕਰੋ ਛਤਰੀ ਪ੍ਰਬੰਧਨ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,निगराणी ठेवा छत्र व्यवस्थापन सकाळच्या फेरीसाठी.,synthetic_extension
auto_community_monitor_morning_0026,Monitor community support for morning field rounds.,निगरानी रखें समुदाय सहायता सुबह खेत निरीक्षण के लिए।,निगरानी करीं समुदाय सहारा भोर खेत जांच खातिर।,ਨਿਗਰਾਨੀ ਕਰੋ ਕਮਿਊਨਿਟੀ ਸਹਾਇਤਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,निगराणी ठेवा समुदाय मदत सकाळच्या फेरीसाठी.,synthetic_extension
auto_market_monitor_morning_0027,Monitor market readiness for morning field rounds.,निगरानी रखें बाजार तैयारी सुबह खेत निरीक्षण के लिए।,निगरानी करीं बाजार तैयारी भोर खेत जांच खातिर।,ਨਿਗਰਾਨੀ ਕਰੋ ਮਾਰਕੀਟ ਤਿਆਰੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,निगराणी ठेवा बाजार तयारी सकाळच्या फेरीसाठी.,synthetic_extension
auto_expert_monitor_morning_0028,Monitor expert escalation for morning field rounds.,निगरानी रखें विशेषज्ञ सहायता सुबह खेत निरीक्षण के लिए।,निगरानी करीं विशेषज्ञ मदद भोर खेत जांच खातिर।,ਨਿਗਰਾਨੀ ਕਰੋ ਮਾਹਰ ਸਹਾਇਤਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,निगराणी ठेवा तज्ञ सल्ला सकाळच्या फेरीसाठी.,synthetic_extension
auto_report_monitor_morning_0029,Monitor report generation for morning field rounds.,निगरानी रखें रिपोर्ट निर्माण सुबह खेत निरीक्षण के लिए।,निगरानी करीं रिपोर्ट बनावल भोर खेत जांच खातिर।,ਨਿਗਰਾਨੀ ਕਰੋ ਰਿਪੋਰਟ ਤਿਆਰ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,निगराणी ठेवा अहवाल निर्मिती सकाळच्या फेरीसाठी.,synthetic_extension
auto_weather_stabilize_morning_0030,Stabilize weather planning for morning field rounds.,स्थिर रखें मौसम योजना सुबह खेत निरीक्षण के लिए।,स्थिर राखीं मौसम योजना भोर खेत जांच खातिर।,ਸਥਿਰ ਰੱਖੋ ਮੌਸਮ ਯੋਜਨਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,स्थिर ठेवा हवामान नियोजन सकाळच्या फेरीसाठी.,synthetic_extension
auto_scan_stabilize_morning_0031,Stabilize leaf scan quality for morning field rounds.,स्थिर रखें पत्ती स्कैन गुणवत्ता सुबह खेत निरीक्षण के लिए।,स्थिर राखीं पत्ता स्कैन गुणवत्ता भोर खेत जांच खातिर।,ਸਥਿਰ ਰੱਖੋ ਪੱਤਾ ਸਕੈਨ ਕੁਆਲਿਟੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,स्थिर ठेवा पान स्कॅन गुणवत्ता सकाळच्या फेरीसाठी.,synthetic_extension
auto_soil_stabilize_morning_0032,Stabilize soil readiness for morning field rounds.,स्थिर रखें मिट्टी तैयारी सुबह खेत निरीक्षण के लिए।,स्थिर राखीं माटी तैयारी भोर खेत जांच खातिर।,ਸਥਿਰ ਰੱਖੋ ਮਿੱਟੀ ਤਿਆਰੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,स्थिर ठेवा माती तयारी सकाळच्या फेरीसाठी.,synthetic_extension
auto_irrigation_stabilize_morning_0033,Stabilize irrigation timing for morning field rounds.,स्थिर रखें सिंचाई समय सुबह खेत निरीक्षण के लिए।,स्थिर राखीं सिंचाई समय भोर खेत जांच खातिर।,ਸਥਿਰ ਰੱਖੋ ਸਿੰਚਾਈ ਸਮਾਂ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,स्थिर ठेवा सिंचन वेळ सकाळच्या फेरीसाठी.,synthetic_extension
auto_nutrition_stabilize_morning_0034,Stabilize nutrient balance for morning field rounds.,स्थिर रखें पोषण संतुलन सुबह खेत निरीक्षण के लिए।,स्थिर राखीं पोषण संतुलन भोर खेत जांच खातिर।,ਸਥਿਰ ਰੱਖੋ ਪੋਸ਼ਣ ਸੰਤੁਲਨ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,स्थिर ठेवा पोषण संतुलन सकाळच्या फेरीसाठी.,synthetic_extension
auto_canopy_stabilize_morning_0035,Stabilize canopy management for morning field rounds.,स्थिर रखें पौध संरचना प्रबंधन सुबह खेत निरीक्षण के लिए।,स्थिर राखीं पौधा बनावट प्रबंधन भोर खेत जांच खातिर।,ਸਥਿਰ ਰੱਖੋ ਛਤਰੀ ਪ੍ਰਬੰਧਨ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,स्थिर ठेवा छत्र व्यवस्थापन सकाळच्या फेरीसाठी.,synthetic_extension
auto_community_stabilize_morning_0036,Stabilize community support for morning field rounds.,स्थिर रखें समुदाय सहायता सुबह खेत निरीक्षण के लिए।,स्थिर राखीं समुदाय सहारा भोर खेत जांच खातिर।,ਸਥਿਰ ਰੱਖੋ ਕਮਿਊਨਿਟੀ ਸਹਾਇਤਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,स्थिर ठेवा समुदाय मदत सकाळच्या फेरीसाठी.,synthetic_extension
auto_market_stabilize_morning_0037,Stabilize market readiness for morning field rounds.,स्थिर रखें बाजार तैयारी सुबह खेत निरीक्षण के लिए।,स्थिर राखीं बाजार तैयारी भोर खेत जांच खातिर।,ਸਥਿਰ ਰੱਖੋ ਮਾਰਕੀਟ ਤਿਆਰੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,स्थिर ठेवा बाजार तयारी सकाळच्या फेरीसाठी.,synthetic_extension
auto_expert_stabilize_morning_0038,Stabilize expert escalation for morning field rounds.,स्थिर रखें विशेषज्ञ सहायता सुबह खेत निरीक्षण के लिए।,स्थिर राखीं विशेषज्ञ मदद भोर खेत जांच खातिर।,ਸਥਿਰ ਰੱਖੋ ਮਾਹਰ ਸਹਾਇਤਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,स्थिर ठेवा तज्ञ सल्ला सकाळच्या फेरीसाठी.,synthetic_extension
auto_report_stabilize_morning_0039,Stabilize report generation for morning field rounds.,स्थिर रखें रिपोर्ट निर्माण सुबह खेत निरीक्षण के लिए।,स्थिर राखीं रिपोर्ट बनावल भोर खेत जांच खातिर।,ਸਥਿਰ ਰੱਖੋ ਰਿਪੋਰਟ ਤਿਆਰ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,स्थिर ठेवा अहवाल निर्मिती सकाळच्या फेरीसाठी.,synthetic_extension
auto_weather_prepare_morning_0040,Prepare weather planning for morning field rounds.,तैयार करें मौसम योजना सुबह खेत निरीक्षण के लिए।,तइयार करीं मौसम योजना भोर खेत जांच खातिर।,ਤਿਆਰ ਕਰੋ ਮੌਸਮ ਯੋਜਨਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तयार करा हवामान नियोजन सकाळच्या फेरीसाठी.,synthetic_extension
auto_scan_prepare_morning_0041,Prepare leaf scan quality for morning field rounds.,तैयार करें पत्ती स्कैन गुणवत्ता सुबह खेत निरीक्षण के लिए।,तइयार करीं पत्ता स्कैन गुणवत्ता भोर खेत जांच खातिर।,ਤਿਆਰ ਕਰੋ ਪੱਤਾ ਸਕੈਨ ਕੁਆਲਿਟੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तयार करा पान स्कॅन गुणवत्ता सकाळच्या फेरीसाठी.,synthetic_extension
auto_soil_prepare_morning_0042,Prepare soil readiness for morning field rounds.,तैयार करें मिट्टी तैयारी सुबह खेत निरीक्षण के लिए।,तइयार करीं माटी तैयारी भोर खेत जांच खातिर।,ਤਿਆਰ ਕਰੋ ਮਿੱਟੀ ਤਿਆਰੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तयार करा माती तयारी सकाळच्या फेरीसाठी.,synthetic_extension
auto_irrigation_prepare_morning_0043,Prepare irrigation timing for morning field rounds.,तैयार करें सिंचाई समय सुबह खेत निरीक्षण के लिए।,तइयार करीं सिंचाई समय भोर खेत जांच खातिर।,ਤਿਆਰ ਕਰੋ ਸਿੰਚਾਈ ਸਮਾਂ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तयार करा सिंचन वेळ सकाळच्या फेरीसाठी.,synthetic_extension
auto_nutrition_prepare_morning_0044,Prepare nutrient balance for morning field rounds.,तैयार करें पोषण संतुलन सुबह खेत निरीक्षण के लिए।,तइयार करीं पोषण संतुलन भोर खेत जांच खातिर।,ਤਿਆਰ ਕਰੋ ਪੋਸ਼ਣ ਸੰਤੁਲਨ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तयार करा पोषण संतुलन सकाळच्या फेरीसाठी.,synthetic_extension
auto_canopy_prepare_morning_0045,Prepare canopy management for morning field rounds.,तैयार करें पौध संरचना प्रबंधन सुबह खेत निरीक्षण के लिए।,तइयार करीं पौधा बनावट प्रबंधन भोर खेत जांच खातिर।,ਤਿਆਰ ਕਰੋ ਛਤਰੀ ਪ੍ਰਬੰਧਨ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तयार करा छत्र व्यवस्थापन सकाळच्या फेरीसाठी.,synthetic_extension
