crop,soil_type,growth_stage,n_status,p_status,k_status,recommended_fertilizer,dosage_kg_per_acre,application_method,advisory_en,advisory_hi,advisory_bho,advisory_pa,advisory_mr,source_type,review_status
rice,sandy_loam,nursery,low,balanced,balanced,Urea + FYM,50,split_dose_root_zone,"For rice at nursery, apply Urea + FYM (50 kg/acre) via split_dose_root_zone and re-check in 7 days.",rice के nursery चरण में Urea + FYM (50 kg/acre) split_dose_root_zone से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में Urea + FYM (50 kg/acre) split_dose_root_zone से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ Urea + FYM (50 kg/acre) split_dose_root_zone ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात Urea + FYM (50 kg/acre) split_dose_root_zone ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,sandy_loam,nursery,balanced,low,balanced,DAP / SSP blend,42,basal_application,"For rice at nursery, apply DAP / SSP blend (42 kg/acre) via basal_application and re-check in 7 days.",rice के nursery चरण में DAP / SSP blend (42 kg/acre) basal_application से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में DAP / SSP blend (42 kg/acre) basal_application से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ DAP / SSP blend (42 kg/acre) basal_application ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात DAP / SSP blend (42 kg/acre) basal_application ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,sandy_loam,nursery,balanced,balanced,low,MOP (Muriate of Potash),41,side_dressing,"For rice at nursery, apply MOP (Muriate of Potash) (41 kg/acre) via side_dressing and re-check in 7 days.",rice के nursery चरण में MOP (Muriate of Potash) (41 kg/acre) side_dressing से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में MOP (Muriate of Potash) (41 kg/acre) side_dressing से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ MOP (Muriate of Potash) (41 kg/acre) side_dressing ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात MOP (Muriate of Potash) (41 kg/acre) side_dressing ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,sandy_loam,nursery,balanced,balanced,balanced,NPK 19:19:19 balanced feed,37,foliar_plus_basal,"For rice at nursery, apply NPK 19:19:19 balanced feed (37 kg/acre) via foliar_plus_basal and re-check in 7 days.",rice के nursery चरण में NPK 19:19:19 balanced feed (37 kg/acre) foliar_plus_basal से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में NPK 19:19:19 balanced feed (37 kg/acre) foliar_plus_basal से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ NPK 19:19:19 balanced feed (37 kg/acre) foliar_plus_basal ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात NPK 19:19:19 balanced feed (37 kg/acre) foliar_plus_basal ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,sandy_loam,nursery,high,balanced,balanced,Biofertilizer + irrigation flush,20,soil_correction,"For rice at nursery, apply Biofertilizer + irrigation flush (20 kg/acre) via soil_correction and re-check in 7 days.",rice के nursery चरण में Biofertilizer + irrigation flush (20 kg/acre) soil_correction से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में Biofertilizer + irrigation flush (20 kg/acre) soil_correction से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ Biofertilizer + irrigation flush (20 kg/acre) soil_correction ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात Biofertilizer + irrigation flush (20 kg/acre) soil_correction ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,vegetative,low,balanced,balanced,Urea + FYM,56,split_dose_root_zone,"For rice at vegetative, apply Urea + FYM (56 kg/acre) via split_dose_root_zone and re-check in 7 days.",rice के vegetative चरण में Urea + FYM (56 kg/acre) split_dose_root_zone से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में Urea + FYM (56 kg/acre) split_dose_root_zone से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ Urea + FYM (56 kg/acre) split_dose_root_zone ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात Urea + FYM (56 kg/acre) split_dose_root_zone ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,vegetative,balanced,low,balanced,DAP / SSP blend,53,basal_application,"For rice at vegetative, apply DAP / SSP blend (53 kg/acre) via basal_application and re-check in 7 days.",rice के vegetative चरण में DAP / SSP blend (53 kg/acre) basal_application से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में DAP / SSP blend (53 kg/acre) basal_application से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ DAP / SSP blend (53 kg/acre) basal_application ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात DAP / SSP blend (53 kg/acre) basal_application ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,vegetative,balanced,balanced,low,MOP (Muriate of Potash),42,side_dressing,"For rice at vegetative, apply MOP (Muriate of Potash) (42 kg/acre) via side_dressing and re-check in 7 days.",rice के vegetative चरण में MOP (Muriate of Potash) (42 kg/acre) side_dressing से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में MOP (Muriate of Potash) (42 kg/acre) side_dressing से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ MOP (Muriate of Potash) (42 kg/acre) side_dressing ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात MOP (Muriate of Potash) (42 kg/acre) side_dressing ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,vegetative,balanced,balanced,balanced,NPK 19:19:19 balanced feed,44,foliar_plus_basal,"For rice at vegetative, apply NPK 19:19:19 balanced feed (44 kg/acre) via foliar_plus_basal and re-check in 7 days.",rice के vegetative चरण में NPK 19:19:19 balanced feed (44 kg/acre) foliar_plus_basal से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में NPK 19:19:19 balanced feed (44 kg/acre) foliar_plus_basal से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ NPK 19:19:19 balanced feed (44 kg/acre) foliar_plus_basal ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात NPK 19:19:19 balanced feed (44 kg/acre) foliar_plus_basal ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,vegetative,high,balanced,balanced,Biofertilizer + irrigation flush,28,soil_correction,"For rice at vegetative, apply Biofertilizer + irrigation flush (28 kg/acre) via soil_correction and re-check in 7 days.",rice के vegetative चरण में Biofertilizer + irrigation flush (28 kg/acre) soil_correction से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में Biofertilizer + irrigation flush (28 kg/acre) soil_correction से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ Biofertilizer + irrigation flush (28 kg/acre) soil_correction ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात Biofertilizer + irrigation flush (28 kg/acre) soil_correction ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,clay,vegetative,low,balanced,balanced,Urea + FYM,50,split_dose_root_zone,"For rice at vegetative, apply Urea + FYM (50 kg/acre) via split_dose_root_zone and re-check in 7 days.",rice के vegetative चरण में Urea + FYM (50 kg/acre) split_dose_root_zone से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में Urea + FYM (50 kg/acre) split_dose_root_zone से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ Urea + FYM (50 kg/acre) split_dose_root_zone ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात Urea + FYM (50 kg/acre) split_dose_root_zone ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,clay,vegetative,balanced,low,balanced,DAP / SSP blend,45,basal_application,"For rice at vegetative, apply DAP / SSP blend (45 kg/acre) via basal_application and re-check in 7 days.",rice के vegetative चरण में DAP / SSP blend (45 kg/acre) basal_application से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में DAP / SSP blend (45 kg/acre) basal_application से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ DAP / SSP blend (45 kg/acre) basal_application ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात DAP / SSP blend (45 kg/acre) basal_application ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,clay,vegetative,balanced,balanced,low,MOP (Muriate of Potash),48,side_dressing,"For rice at vegetative, apply MOP (Muriate of Potash) (48 kg/acre) via side_dressing and re-check in 7 days.",rice के vegetative चरण में MOP (Muriate of Potash) (48 kg/acre) side_dressing से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में MOP (Muriate of Potash) (48 kg/acre) side_dressing से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ MOP (Muriate of Potash) (48 kg/acre) side_dressing ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात MOP (Muriate of Potash) (48 kg/acre) side_dressing ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,clay,vegetative,balanced,balanced,balanced,NPK 19:19:19 balanced feed,40,foliar_plus_basal,"For rice at vegetative, apply NPK 19:19:19 balanced feed (40 kg/acre) via foliar_plus_basal and re-check in 7 days.",rice के vegetative चरण में NPK 19:19:19 balanced feed (40 kg/acre) foliar_plus_basal से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में NPK 19:19:19 balanced feed (40 kg/acre) foliar_plus_basal से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ NPK 19:19:19 balanced feed (40 kg/acre) foliar_plus_basal ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात NPK 19:19:19 balanced feed (40 kg/acre) foliar_plus_basal ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,clay,vegetative,high,balanced,balanced,Biofertilizer + irrigation flush,28,soil_correction,"For rice at vegetative, apply Biofertilizer + irrigation flush (28 kg/acre) via soil_correction and re-check in 7 days.",rice के vegetative चरण में Biofertilizer + irrigation flush (28 kg/acre) soil_correction से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में Biofertilizer + irrigation flush (28 kg/acre) soil_correction से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ Biofertilizer + irrigation flush (28 kg/acre) soil_correction ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात Biofertilizer + irrigation flush (28 kg/acre) soil_correction ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,sandy_loam,vegetative,low,balanced,balanced,Urea + FYM,54,split_dose_root_zone,"For rice at vegetative, apply Urea + FYM (54 kg/acre) via split_dose_root_zone and re-check in 7 days.",rice के vegetative चरण में Urea + FYM (54 kg/acre) split_dose_root_zone से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में Urea + FYM (54 kg/acre) split_dose_root_zone से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ Urea + FYM (54 kg/acre) split_dose_root_zone ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात Urea + FYM (54 kg/acre) split_dose_root_zone ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,sandy_loam,vegetative,balanced,low,balanced,DAP / SSP blend,46,basal_application,"For rice at vegetative, apply DAP / SSP blend (46 kg/acre) via basal_application and re-check in 7 days.",rice के vegetative चरण में DAP / SSP blend (46 kg/acre) basal_application से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में DAP / SSP blend (46 kg/acre) basal_application से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ DAP / SSP blend (46 kg/acre) basal_application ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात DAP / SSP blend (46 kg/acre) basal_application ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,sandy_loam,vegetative,balanced,balanced,low,MOP (Muriate of Potash),45,side_dressing,"For rice at vegetative, apply MOP (Muriate of Potash) (45 kg/acre) via side_dressing and re-check in 7 days.",rice के vegetative चरण में MOP (Muriate of Potash) (45 kg/acre) side_dressing से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में MOP (Muriate of Potash) (45 kg/acre) side_dressing से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ MOP (Muriate of Potash) (45 kg/acre) side_dressing ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात MOP (Muriate of Potash) (45 kg/acre) side_dressing ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,sandy_loam,vegetative,balanced,balanced,balanced,NPK 19:19:19 balanced feed,33,foliar_plus_basal,"For rice at vegetative, apply NPK 19:19:19 balanced feed (33 kg/acre) via foliar_plus_basal and re-check in 7 days.",rice के vegetative चरण में NPK 19:19:19 balanced feed (33 kg/acre) foliar_plus_basal से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में NPK 19:19:19 balanced feed (33 kg/acre) foliar_plus_basal से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ NPK 19:19:19 balanced feed (33 kg/acre) foliar_plus_basal ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात NPK 19:19:19 balanced feed (33 kg/acre) foliar_plus_basal ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,sandy_loam,vegetative,high,balanced,balanced,Biofertilizer + irrigation flush,22,soil_correction,"For rice at vegetative, apply Biofertilizer + irrigation flush (22 kg/acre) via soil_correction and re-check in 7 days.",rice के vegetative चरण में Biofertilizer + irrigation flush (22 kg/acre) soil_correction से दें और 7 दिन बाद जांच करें।,rice के vegetative दौर में Biofertilizer + irrigation flush (22 kg/acre) soil_correction से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ vegetative ਪੜਾਅ ਵਿੱਚ Biofertilizer + irrigation flush (22 kg/acre) soil_correction ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या vegetative टप्प्यात Biofertilizer + irrigation flush (22 kg/acre) soil_correction ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,flowering_fruiting,low,balanced,balanced,Urea + FYM,62,split_dose_root_zone,"For rice at flowering_fruiting, apply Urea + FYM (62 kg/acre) via split_dose_root_zone and re-check in 7 days.",rice के flowering_fruiting चरण में Urea + FYM (62 kg/acre) split_dose_root_zone से दें और 7 दिन बाद जांच करें।,rice के flowering_fruiting दौर में Urea + FYM (62 kg/acre) split_dose_root_zone से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ flowering_fruiting ਪੜਾਅ ਵਿੱਚ Urea + FYM (62 kg/acre) split_dose_root_zone ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या flowering_fruiting टप्प्यात Urea + FYM (62 kg/acre) split_dose_root_zone ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,flowering_fruiting,balanced,low,balanced,DAP / SSP blend,43,basal_application,"For rice at flowering_fruiting, apply DAP / SSP blend (43 kg/acre) via basal_application and re-check in 7 days.",rice के flowering_fruiting चरण में DAP / SSP blend (43 kg/acre) basal_application से दें और 7 दिन बाद जांच करें।,rice के flowering_fruiting दौर में DAP / SSP blend (43 kg/acre) basal_application से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ flowering_fruiting ਪੜਾਅ ਵਿੱਚ DAP / SSP blend (43 kg/acre) basal_application ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या flowering_fruiting टप्प्यात DAP / SSP blend (43 kg/acre) basal_application ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
